Rank,Title,Rating,Image_URL,Episodes,Dates,URL
75,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/1572/95010.jpg?s=88db8e76960fce4e7aaa69f71cfbb4cb,TV (39 eps),Oct 2018 - Jul 2019,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
76,Natsume Yuujinchou Go,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/11/81755.jpg?s=54d7dafe4652b04b40d97d5d6d97d18d,TV (11 eps),Oct 2016 - Dec 2016,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
77,Natsume Yuujinchou San,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/8/82394.jpg?s=f3bc38aa1e6c10580687828856d8dc28,TV (13 eps),Jul 2011 - Sep 2011,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
78,Shouwa Genroku Rakugo Shinjuu,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/2/77907.jpg?s=29933c26544d4f41ce39d88c586914b7,TV (13 eps),Jan 2016 - Apr 2016,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
79,Yojouhan Shinwa Taikei,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/10/50457.jpg?s=e159597465fa4799df1f8128a8683750,TV (11 eps),Apr 2010 - Jul 2010,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
80,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/12/19698.jpg?s=1be69978bb463a9b8284565cbf1bfb2f,Movie (1 eps),Apr 2009 - Apr 2009,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
81,Fate/Zero 2nd Season,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1522/117645.jpg?s=e54dcf99dc0874bc5b228ebe8496c857,TV (12 eps),Apr 2012 - Jun 2012,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
82,Fruits Basket 2nd Season,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1972/111635.jpg?s=9f6f5fa524e70efe80167f14f18b9163,TV (25 eps),Apr 2020 - Sep 2020,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
83,Jujutsu Kaisen 0 Movie,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1121/119044.jpg?s=1ff4db7140a7d31a110576b2699c87c1,Movie (1 eps),Dec 2021 - Dec 2021,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
84,Kimi no Suizou wo Tabetai,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1768/93291.jpg?s=9511a058515d30808733fff309b97756,Movie (1 eps),Sep 2018 - Sep 2018,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
85,Kimetsu no Yaiba,8.56,https://cdn.myanimelist.net/r/50x70/images/anime/1286/99889.jpg?s=e497d08bef31ae412e314b90a54acfda,TV (26 eps),Apr 2019 - Sep 2019,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
86,Yakusoku no Neverland,8.56,https://cdn.myanimelist.net/r/50x70/images/anime/1830/118780.jpg?s=4e8a1b5b13b15d3c9172d53e3aad887b,TV (12 eps),Jan 2019 - Mar 2019,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
87,Mushishi: Hihamukage,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/10/59315.jpg?s=a45594e7790d4a09b63722ca901cff1c,Special (1 eps),Jan 2014 - Jan 2014,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
88,Zoku Natsume Yuujinchou,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/4/79738.jpg?s=dbd5bb99becb12fa6d689196afefa1ff,TV (13 eps),Jan 2009 - Mar 2009,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
89,Bakuman. 3rd Season,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/6/41845.jpg?s=3e8c09dddfce41e17d602c0cd81875e1,TV (25 eps),Oct 2012 - Mar 2013,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
90,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1896/119844.jpg?s=ad994ecd980913daa64c84a5a3da11bb,ONA (? eps),Dec 2021 -,https://myanimelist.net/anime/48661/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean
91,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1974/98158.jpg?s=ec1b1ac07bd5fcd166381a293ae7dbee,Movie (1 eps),Jan 2019 - Jan 2019,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
92,Haikyuu!! To the Top 2nd Season,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1453/106768.jpg?s=08662a9ed32a8637dbdfa92f67949078,TV (12 eps),Oct 2020 - Dec 2020,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_2nd_Season
93,Kara no Kyoukai 5: Mujun Rasen,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1574/112838.jpg?s=58d26fa18ddfe934b6795cf787d418b9,Movie (1 eps),Aug 2008 - Aug 2008,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen
94,Neon Genesis Evangelion: The End of Evangelion,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1404/98182.jpg?s=890ec3587370861a797eb6b38b2ef21a,Movie (1 eps),Jul 1997 - Jul 1997,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
95,Sora yori mo Tooi Basho,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/6/89879.jpg?s=273f1505d409ac20eed3e0c255a2f903,TV (13 eps),Jan 2018 - Mar 2018,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
96,Yuru Camp△ Season 2,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1255/110636.jpg?s=2b6005aafc62e746b64d224e60a5a8b4,TV (13 eps),Jan 2021 - Apr 2021,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
97,Slam Dunk,8.53,https://cdn.myanimelist.net/r/50x70/images/anime/12/86890.jpg?s=bfc7954502569ff5c4d3533dcde8230f,TV (101 eps),Oct 1993 - Mar 1996,https://myanimelist.net/anime/170/Slam_Dunk
98,Gintama.: Porori-hen,8.53,https://cdn.myanimelist.net/r/50x70/images/anime/11/88325.jpg?s=01d05bdfad24f28a33faa4c5177eb02f,TV (13 eps),Oct 2017 - Dec 2017,https://myanimelist.net/anime/35843/Gintama__Porori-hen
